ヘッダー
ファイルバージョン,1.01.01
ソフトウェアバージョン,1.04
ファームウェアバージョン,1.02
FPGAバージョン,1A25
ヘッドセット FPGAバージョン,272B
計測モード,Wireless monitor
計測コントローラ ID,A
計測ID,A20230613210032
計測コメント,tohma_odoball_2
ユーザー情報
ID,
Name,ooshio360
Comment,ooshio360
Age,  1y
Sex,Male
解析情報
Hb移動平均[s],OFF
プローブ情報
プローブモード,(B)2x4
プローブID,PROBE095
mPD反映,X
自動レーザー出力設定方式,Auto（自動）
プローブ調整平均値算出回数,10
外光判定閾値[%],40
アンダー判定閾値[%],30
オーバー判定閾値[%],80
レーザーチャンネル,LD1(705.0),LD1(830.0),LD2(705.0),LD2(830.0),LD3(705.0),LD3(830.0),LD4(705.0),LD4(830.0),LD5(705.0),LD5(830.0),LD6(705.0),LD6(830.0),LD7(705.0),LD7(830.0),LD8(705.0),LD8(830.0)
計測チャンネル,CH1(-.-),CH1(-.-),CH2(-.-),CH2(-.-),CH3(-.-),CH3(-.-),CH4(-.-),CH4(-.-),CH5(-.-),CH5(-.-),CH6(-.-),CH6(-.-),CH7(705.0),CH7(830.0),CH8(705.0),CH8(830.0),CH9(705.0),CH9(830.0),CH10(705.0),CH10(830.0),CH11(705.0),CH11(830.0),CH12(705.0),CH12(830.0),CH13(705.0),CH13(830.0),CH14(705.0),CH14(830.0),CH15(705.0),CH15(830.0),CH16(705.0),CH16(830.0),CH17(-.-),CH17(-.-),CH18(-.-),CH18(-.-),CH19(-.-),CH19(-.-),CH20(-.-),CH20(-.-),CH21(-.-),CH21(-.-),CH22(-.-),CH22(-.-)
除去チャネル,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
故障レーザーチャンネル,-,-,-,-,-,-,-,-,-,-,-,-,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-
レーザー設定,-,-,-,-,-,-,-,-,-,-,-,-,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Off,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Low,-,-,-,-,-,-,-,-,-,-,-,-,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - High,-,-,-,-,-,-,-,-,-,-,-,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力設定値(If)[mA],-,-,-,-,-,-,-,-,-,-,-,-,23.17,24.37,23.17,24.37,22.12,24.49,22.12,24.49,21.77,23.76,22.12,24.49,21.77,23.76,21.77,23.76,22.15,23.55,22.15,23.55,-,-,-,-,-,-,-,-,-,-,-,-
レーザー調整係数,8.000,8.000
レーザー調整基準レーザー出力(Po)[mW],4.00,4.00
レーザー調整基準レーザー出力(Vm)[V],0.50,0.50
プローブ調整結果,-,-,-,-,-,-,-,-,Normal,Normal,-,-,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,-,-,Normal,Normal,-,-,-,-,-,-,-,-
計測情報
計測日時,2023/06/13 21:01:21
計測タイプ,Stim
プリスキャン時間[s],10.0
マーク入力タイプ,Manual
マーククラス,A,B,C,D,E,F,G,H,I,J
マーク名称,Stim A,Stim B,Stim C,Stim D,Stim E,Stim F,Stim G,Stim H,Stim I,Stim J
マーク刺激時間[s],15,15,15,15,15,15,15,15,15,15
マーク刺激間隔時間[s],30,30,30,30,30,30,30,30,30,30
マーク繰り返し回数,3



データ
携帯制御ボックス番号69(Deoxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
15,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.17371370,0.06616922,-0.03847051,-0.11539459,0.02853911,-0.00051578,0.02542255,0.01571185,-0.01646128,0.02962198,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:34.0,0,0
16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00822923,0.01083736,-0.04934491,-0.11183675,0.03140031,-0.00807834,0.03794210,0.03899003,-0.01895766,0.02589917,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:34.0,0,0
17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.10193925,-0.01257652,-0.13295914,-0.06963818,-0.08150422,-0.07678935,-0.06973676,-0.11411773,-0.05380443,0.19489098,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:34.0,0,0
18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.05463307,-0.04090330,-0.04843036,-0.07380840,0.00724425,-0.00877577,0.00182721,0.01770949,-0.01448281,0.05922319,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:34.0,0,0
19,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03788702,0.01084420,-0.02271341,0.01310209,-0.02688699,0.00213471,-0.05725916,-0.04195249,-0.00905620,0.27743754,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:35.0,0,0
20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.17545414,0.10142631,0.00000000,-2.45902586,0.23221759,-0.00863779,-0.07560027,-0.07080879,-0.01552970,0.15905096,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:35.0,0,0
21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07812660,-0.07893403,0.20461205,0.24525553,-0.01043436,-0.01375554,-0.01781875,-0.01201941,-0.01262206,0.22890532,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:35.0,0,0
22,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.19210550,-0.14516571,1.07263541,-0.96845031,0.21588333,-0.03257769,-0.12000166,-0.14070046,-0.02409590,0.35497001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:35.0,0,0
23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03631014,-0.08976728,-0.03386329,-0.01302368,0.22232300,-0.00377192,-0.00434791,-0.00861731,-0.02780023,0.15262455,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:35.0,0,0
24,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.07137616,-0.01364201,-0.02763694,-2.35049748,-0.06664930,0.01002928,-0.10534126,-0.12305342,-0.00486325,0.42071193,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:36.0,0,0
25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05786319,-0.12884432,0.04973161,0.02046721,0.37704262,-0.00723500,-0.00645898,-0.02119802,-0.02590583,0.16846517,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:36.0,0,0
26,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.18587625,-0.10905213,-0.17000087,-2.80968404,-0.05060176,-0.10074000,-0.06997893,-0.10790190,-0.08853387,0.03730483,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:36.0,0,0
27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.80548316,-0.10783009,-0.02006682,-0.02952021,0.29387128,0.00134800,-0.00107034,-0.00262240,-0.03739164,0.06433221,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:36.0,0,0
28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.09992841,-0.02605776,-0.05547428,-3.07816148,0.02254249,-0.00763921,-0.02163449,-0.02034482,-0.03258989,0.04528924,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:36.0,0,0
29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.09821336,0.00000000,-3.22531033,0.47242984,-0.02133168,0.01228975,-0.00730112,-0.04323026,-0.06874559,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:37.0,0,0
30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.15120612,-0.11511770,-0.17257266,-0.11402854,-0.03839799,-0.10288149,-0.02236505,-0.07485286,-0.09218568,-0.12709001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:37.0,0,0
31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.09721298,0.00000000,-2.66662002,0.27481917,-0.01097144,-0.02513858,-0.03791011,-0.03677642,-0.17345291,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:37.0,0,0
32,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04801746,-0.02963090,-0.04989130,-0.05981263,0.02561928,-0.00685707,0.01609710,0.00501586,-0.01962716,-0.20309648,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:37.0,0,0
33,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.05613875,0.00000000,-3.02917027,0.32914504,-0.02425798,0.00561198,-0.01090910,-0.03275989,-0.14435910,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:37.0,0,0
34,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03384794,-0.12166422,-0.18483447,-0.11796287,-0.05253283,-0.10397578,-0.03597696,-0.08875597,-0.08017051,-0.37401852,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:38.0,0,0
35,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,7.51097155,0.15119965,0.00000000,14.24179745,0.22885157,-0.02024879,0.01387033,-0.00955297,-0.03730731,-0.09414655,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:38.0,0,0
36,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01818987,-0.05767149,0.03055370,21.85903358,-0.19188735,-0.00844682,-0.03351311,-0.04008778,-0.03783938,-0.31225383,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:38.0,0,0
37,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.14575067,-0.02395928,-0.15121248,-2.93347263,0.13185534,-0.02219107,-0.01269984,-0.03306587,-0.01918406,-0.06185928,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:38.0,0,0
38,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06381905,-0.14800984,0.00510966,0.02046721,0.22358948,-0.05965015,-0.08621393,-0.13099073,-0.04922721,-0.16445923,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:38.0,0,0
39,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.11049502,-0.06473656,-0.06469854,-2.31196475,-0.02016259,-0.02338785,-0.04331005,-0.05929438,-0.04370496,-0.10582337,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:39.0,0,0
40,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07527744,-0.07491379,0.06935178,0.12432598,0.23881537,-0.01083015,-0.09041738,-0.12308711,-0.01703259,0.17933057,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:39.0,0,0
41,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01504149,-0.03409632,-0.13370875,-2.68422127,-0.02383875,-0.01590898,-0.05354059,-0.08510244,-0.02873369,-0.11158343,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:39.0,0,0
42,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.19373953,-0.63981545,20.34196663,0.24244115,-0.02080449,-0.09454438,-0.13068214,-0.02613316,0.19515558,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:39.0,0,0
43,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04416568,-0.04140758,-0.04879555,0.12609887,-0.12834780,-0.02020332,-0.08313117,-0.11925049,-0.02275789,0.10278371,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:39.0,0,0
44,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.17230166,0.00000000,-2.70063758,0.40708393,-0.01572306,-0.04099756,-0.06137304,-0.02911334,0.08557857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:40.0,0,0
45,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06143007,-0.14190559,-0.17039432,-0.03060834,-0.14714335,-0.09949493,-0.12741201,-0.20841227,-0.05379666,0.14451128,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:40.0,0,0
46,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.14762430,0.00000000,12.49782085,0.39211375,-0.01843980,-0.04986167,-0.09006669,-0.04622882,-0.15238677,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:40.0,0,0
47,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.18583164,-0.07298187,-0.04367042,0.08278097,-0.05425016,-0.01028786,-0.07143266,-0.10158483,-0.00039089,0.23652026,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:40.0,0,0
48,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.10759085,0.00000000,13.96446514,0.47195321,-0.06198027,-0.07587261,-0.14002700,-0.05494789,-0.00620024,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:40.0,0,0
49,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.98634410,-0.15266834,-0.07348586,-0.05382598,-0.00561584,-0.01564089,-0.01257549,-0.05323702,-0.03220267,-0.18018453,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:41.0,0,0
50,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01967718,-0.02097219,4.29888725,0.69499749,0.34458512,-0.01762943,-0.08203076,-0.11816774,-0.00449314,0.09142885,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:41.0,0,0
51,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06151797,-0.10167724,0.06268751,16.47335815,0.43001831,-0.01911428,-0.01923795,-0.05519669,-0.03500358,-0.36727020,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:41.0,0,0
52,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.08132394,-0.13318810,-0.13370875,-3.24398732,-0.00609810,-0.06357287,-0.02416503,-0.07614723,-0.03391504,-0.07100310,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:41.0,0,0
53,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01202454,-0.07628535,-0.00288948,12.72916031,0.27218780,-0.01749447,-0.05743220,-0.09173361,-0.02080634,-0.09811156,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:41.0,0,0
54,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.05335682,-0.01739245,-0.10562294,-3.28125691,0.07017129,-0.01339921,0.02232994,0.00003172,-0.03245755,-0.40116757,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:42.0,0,0
55,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.89379382,-0.06153089,0.01752060,20.38128853,0.30484575,-0.07630467,-0.06855449,-0.10485213,-0.05182904,0.01667247,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:42.0,0,0
56,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05581860,-0.04509324,-3.86991310,-2.36854959,0.01940814,-0.01342197,-0.02715304,-0.04988374,-0.01104456,-0.04518891,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:42.0,0,0
57,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.08603811,0.00000000,-2.59313464,0.26059684,-0.01533272,-0.00326872,-0.01881273,-0.00573032,0.00060817,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:42.0,0,0
58,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03910856,-0.02957819,-0.07894354,-0.07423102,-0.05013505,-0.01388527,-0.06742857,-0.09359143,0.00725848,0.09935002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:42.0,0,0
59,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.16729529,0.00000000,-2.11757994,0.19810283,-0.02957037,-0.06011491,-0.10108840,-0.02907865,-0.10345691,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:43.0,0,0
60,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00230591,-0.05219853,-0.08948202,-0.11976635,-0.04833899,-0.01492845,-0.06281077,-0.08344804,-0.00202645,0.18780819,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:43.0,0,0
