ヘッダー
ファイルバージョン,1.01.01
ソフトウェアバージョン,1.04
ファームウェアバージョン,1.02
FPGAバージョン,1A25
ヘッドセット FPGAバージョン,272B
計測モード,Wireless monitor
計測コントローラ ID,A
計測ID,A20230613210032
計測コメント,tohma_odoball_2
ユーザー情報
ID,
Name,ooshio360
Comment,ooshio360
Age,  1y
Sex,Male
解析情報
Hb移動平均[s],OFF
プローブ情報
プローブモード,(B)2x4
プローブID,PROBE095
mPD反映,X
自動レーザー出力設定方式,Auto（自動）
プローブ調整平均値算出回数,10
外光判定閾値[%],40
アンダー判定閾値[%],30
オーバー判定閾値[%],80
レーザーチャンネル,LD1(705.0),LD1(830.0),LD2(705.0),LD2(830.0),LD3(705.0),LD3(830.0),LD4(705.0),LD4(830.0),LD5(705.0),LD5(830.0),LD6(705.0),LD6(830.0),LD7(705.0),LD7(830.0),LD8(705.0),LD8(830.0)
計測チャンネル,CH1(-.-),CH1(-.-),CH2(-.-),CH2(-.-),CH3(-.-),CH3(-.-),CH4(-.-),CH4(-.-),CH5(-.-),CH5(-.-),CH6(-.-),CH6(-.-),CH7(705.0),CH7(830.0),CH8(705.0),CH8(830.0),CH9(705.0),CH9(830.0),CH10(705.0),CH10(830.0),CH11(705.0),CH11(830.0),CH12(705.0),CH12(830.0),CH13(705.0),CH13(830.0),CH14(705.0),CH14(830.0),CH15(705.0),CH15(830.0),CH16(705.0),CH16(830.0),CH17(-.-),CH17(-.-),CH18(-.-),CH18(-.-),CH19(-.-),CH19(-.-),CH20(-.-),CH20(-.-),CH21(-.-),CH21(-.-),CH22(-.-),CH22(-.-)
除去チャネル,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
故障レーザーチャンネル,-,-,-,-,-,-,-,-,-,-,-,-,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-
レーザー設定,-,-,-,-,-,-,-,-,-,-,-,-,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Off,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Low,-,-,-,-,-,-,-,-,-,-,-,-,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - High,-,-,-,-,-,-,-,-,-,-,-,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力設定値(If)[mA],-,-,-,-,-,-,-,-,-,-,-,-,23.17,24.37,23.17,24.37,22.12,24.49,22.12,24.49,21.77,23.76,22.12,24.49,21.77,23.76,21.77,23.76,22.15,23.55,22.15,23.55,-,-,-,-,-,-,-,-,-,-,-,-
レーザー調整係数,8.000,8.000
レーザー調整基準レーザー出力(Po)[mW],4.00,4.00
レーザー調整基準レーザー出力(Vm)[V],0.50,0.50
プローブ調整結果,-,-,-,-,-,-,-,-,Normal,Normal,-,-,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,-,-,Normal,Normal,-,-,-,-,-,-,-,-
計測情報
計測日時,2023/06/13 21:01:21
計測タイプ,Stim
プリスキャン時間[s],10.0
マーク入力タイプ,Manual
マーククラス,A,B,C,D,E,F,G,H,I,J
マーク名称,Stim A,Stim B,Stim C,Stim D,Stim E,Stim F,Stim G,Stim H,Stim I,Stim J
マーク刺激時間[s],15,15,15,15,15,15,15,15,15,15
マーク刺激間隔時間[s],30,30,30,30,30,30,30,30,30,30
マーク繰り返し回数,3



データ
携帯制御ボックス番号69(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.35094377,-0.09541618,-0.11633269,-0.12351590,0.00342175,-0.09201422,0.01095000,-0.03705535,-0.14718924,-0.02713456,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:34.0,0,0
17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.16577540,-0.06889843,-0.01272957,-0.03290753,-0.04022238,0.00143741,-0.05296531,-0.04705533,-0.05604975,0.19610299,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:34.0,0,0
18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.21839654,0.16185886,0.16577071,0.27757800,0.12587959,0.11184935,0.07998293,0.10917354,-0.02785670,-0.04651526,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:34.0,0,0
19,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03892548,0.14423698,0.07341474,-0.02674162,0.06240232,0.05896445,0.04165741,0.03878861,-0.05389921,0.19329154,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:35.0,0,0
20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.49638343,0.01581615,0.00000000,7.44618464,-0.03811382,-0.03493368,-0.00676446,-0.04965919,-0.13846850,-0.24778406,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:35.0,0,0
21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.23657539,-0.18117374,-0.15667623,-0.21574950,-0.03127663,-0.14757158,-0.00177321,-0.10508129,-0.19657043,-0.17520356,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:35.0,0,0
22,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04383360,0.14903221,0.24474818,6.87312222,0.02763392,0.08174202,0.01146656,0.01308134,-0.03892079,-0.09426123,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:35.0,0,0
23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.10995086,0.12375235,0.10254155,0.03943703,0.18522769,0.07522497,0.10486764,0.10316644,-0.05817613,-0.21328190,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:35.0,0,0
24,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01628623,0.04412723,-0.00630605,7.41877937,-0.08220220,-0.03738385,-0.00034391,-0.05692755,-0.10999031,-0.05385545,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:36.0,0,0
25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.17521572,-0.16123420,-0.15059245,-0.06197681,0.02229545,-0.12856773,-0.02857097,-0.11712096,-0.21171497,-0.48844489,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:36.0,0,0
26,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.04241224,-0.05158418,-0.03878988,8.13915348,-0.06411542,-0.01081832,0.02732079,0.00472241,-0.07868301,-0.01546009,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:36.0,0,0
27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.43908620,0.05310202,0.06076439,0.08939025,0.07328257,0.02835386,-0.00358262,-0.01145641,-0.08824047,-0.34291777,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:36.0,0,0
28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.24930994,-0.04072073,-0.01265782,9.16146183,-0.10089029,-0.05260722,-0.00700151,-0.05135836,-0.13298626,-0.10060286,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:36.0,0,0
29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.15342031,0.00000000,9.76657295,-0.38184336,-0.16165252,-0.14171697,-0.21010023,-0.22059652,-0.34804910,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:37.0,0,0
30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.27650174,-0.13126753,-0.05846255,0.00350065,-0.03237871,-0.03767449,-0.03220033,-0.04122087,-0.11461366,-0.21301439,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:37.0,0,0
31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06625231,0.00000000,8.07480049,-0.10192224,-0.01148175,-0.11003958,-0.11174326,-0.08373848,0.03351577,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:37.0,0,0
32,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.20315427,-0.05679706,-0.10366558,-0.02614187,-0.05394232,-0.05989004,-0.07543865,-0.09968545,-0.16745323,-0.38041723,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:37.0,0,0
33,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.21483983,0.00000000,9.17264080,-0.17621824,-0.16888714,-0.14872287,-0.23484917,-0.17833690,0.02627411,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:37.0,0,0
34,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.12662733,-0.03184988,-0.04255185,0.08787912,-0.08942618,0.00054514,-0.07564068,-0.11645132,-0.10092281,-0.27107263,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:38.0,0,0
35,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.71381330,0.02473347,0.00000000,11.64216614,-0.06030951,0.00675515,-0.02891319,-0.05744519,-0.06771633,0.04330222,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:38.0,0,0
36,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.05508079,-0.02536426,-0.09251977,4.97244453,-0.16537717,-0.07950473,-0.12968905,-0.18754804,-0.15508382,-0.06155276,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:38.0,0,0
37,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03325661,-0.25520518,-0.03450286,8.67008114,-0.18034619,-0.18796220,-0.10844485,-0.19951154,-0.24622613,-0.35155845,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:38.0,0,0
38,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.19325069,0.00037740,-0.01547259,-0.06197681,-0.00219730,-0.01504169,-0.09385669,-0.11918350,-0.10629173,0.12258700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:38.0,0,0
39,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02521216,0.04640779,-0.01476257,7.25216007,-0.13393147,-0.03756420,-0.04444857,-0.09201673,-0.14995524,-0.38256672,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:39.0,0,0
40,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.22794786,-0.14263570,-0.21000434,-0.37647188,-0.02880183,-0.14035586,-0.08559325,-0.18151313,-0.18477398,-0.04065812,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:39.0,0,0
41,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00343209,-0.21983948,-0.03050894,8.25951385,-0.28549165,-0.22460754,-0.16158479,-0.29474407,-0.25822130,-0.47431797,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:39.0,0,0
42,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00959407,1.93742716,6.08687592,0.06486179,-0.03398347,-0.03742107,-0.05784983,-0.16677582,-0.22841136,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:39.0,0,0
43,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06462424,-0.00221300,-0.13207886,-0.26938224,0.03385898,-0.08441816,-0.10610412,-0.16395816,-0.18177310,-0.19706833,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:39.0,0,0
44,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.13954113,0.00000000,8.17780876,-0.11626041,-0.17705637,-0.07553124,-0.18637300,-0.24142700,-0.60619855,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:40.0,0,0
45,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.12397462,0.00177024,-0.11360859,-0.21661806,-0.05784085,-0.05115349,-0.03992097,-0.08575513,-0.09567107,0.16763902,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:40.0,0,0
46,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06218787,0.00000000,11.63193798,-0.08281928,-0.04764637,-0.09972145,-0.12364407,-0.12014270,-0.15546924,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:40.0,0,0
47,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.16385292,-0.05864377,-0.17427033,-0.22277083,-0.03071078,-0.10796769,-0.05086543,-0.09240290,-0.15878589,0.01464975,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:40.0,0,0
48,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.15715793,0.00000000,14.25654888,-0.13989437,-0.11387911,-0.16064045,-0.20278580,-0.11270189,0.09029567,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:40.0,0,0
49,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.01835036,0.17959665,0.01970964,0.05505108,-0.01562395,0.04196150,-0.07398244,-0.03705686,-0.06727367,-0.06959452,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:41.0,0,0
50,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00448983,0.06632379,0.98089695,10.66108799,-0.02999839,-0.02727022,-0.07687134,-0.06434669,-0.09827998,0.03055738,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:41.0,0,0
51,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.18628277,-0.11391368,-0.18982425,3.72545433,-0.09199262,-0.12172455,-0.21929090,-0.25684321,-0.16522527,-0.08778378,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:41.0,0,0
52,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01855606,0.13152164,-0.03050894,9.15082645,-0.06251036,0.06464736,-0.05249998,0.00404268,-0.03965985,-0.05190990,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:41.0,0,0
53,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03641155,0.15882106,0.00874964,2.95696545,0.04247393,0.05909388,-0.11556190,-0.07777248,-0.00701805,0.31334832,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:41.0,0,0
54,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01217467,-0.02263414,-0.02410048,9.71230412,-0.20262125,-0.02704160,-0.19487989,-0.18140681,-0.10318141,-0.11010361,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:42.0,0,0
55,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.70650005,-0.24462740,-0.05305420,4.63347530,0.06516260,0.00154800,-0.07748570,-0.06212534,-0.04452254,-0.00113171,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:42.0,0,0
56,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02446130,0.24866691,11.55051994,7.23380184,-0.13519809,0.10769665,-0.15798528,-0.09986994,0.00864340,0.32936174,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:42.0,0,0
57,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09202825,0.00000000,7.85227966,-0.01143160,0.05577982,-0.06570814,-0.03702836,-0.06565876,-0.05900655,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:42.0,0,0
58,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.17887871,-0.02218556,-0.19330907,-0.14774033,-0.05811362,-0.07113042,-0.12702566,-0.15351138,-0.13544376,-0.11396044,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:42.0,0,0
59,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.23633219,0.00000000,6.41225100,0.02951469,0.14673941,-0.05512866,0.01577585,0.00673086,-0.02854219,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:43.0,0,0
60,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.15136951,0.21533179,0.06814765,0.18110555,0.12895215,0.12049774,0.02517972,0.07323599,-0.00570720,0.07173452,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:43.0,0,0
61,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09375852,0.00000000,6.44597054,-0.05875812,0.00904960,-0.10577201,-0.09459939,-0.08174212,-0.08697770,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:01:43.0,0,0
