ヘッダー
ファイルバージョン,1.01.01
ソフトウェアバージョン,1.04
ファームウェアバージョン,1.02
FPGAバージョン,1A25
ヘッドセット FPGAバージョン,272B
計測モード,Wireless monitor
計測コントローラ ID,A
計測ID,A20230613212728
計測コメント,tohma_odoball_2
ユーザー情報
ID,
Name,ooshio360
Comment,ooshio360
Age,  1y
Sex,Male
解析情報
Hb移動平均[s],OFF
プローブ情報
プローブモード,(B)2x4
プローブID,PROBE095
mPD反映,X
自動レーザー出力設定方式,Auto（自動）
プローブ調整平均値算出回数,10
外光判定閾値[%],40
アンダー判定閾値[%],30
オーバー判定閾値[%],80
レーザーチャンネル,LD1(705.0),LD1(830.0),LD2(705.0),LD2(830.0),LD3(705.0),LD3(830.0),LD4(705.0),LD4(830.0),LD5(705.0),LD5(830.0),LD6(705.0),LD6(830.0),LD7(705.0),LD7(830.0),LD8(705.0),LD8(830.0)
計測チャンネル,CH1(-.-),CH1(-.-),CH2(-.-),CH2(-.-),CH3(-.-),CH3(-.-),CH4(-.-),CH4(-.-),CH5(-.-),CH5(-.-),CH6(-.-),CH6(-.-),CH7(705.0),CH7(830.0),CH8(705.0),CH8(830.0),CH9(705.0),CH9(830.0),CH10(705.0),CH10(830.0),CH11(705.0),CH11(830.0),CH12(705.0),CH12(830.0),CH13(705.0),CH13(830.0),CH14(705.0),CH14(830.0),CH15(705.0),CH15(830.0),CH16(705.0),CH16(830.0),CH17(-.-),CH17(-.-),CH18(-.-),CH18(-.-),CH19(-.-),CH19(-.-),CH20(-.-),CH20(-.-),CH21(-.-),CH21(-.-),CH22(-.-),CH22(-.-)
除去チャネル,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
故障レーザーチャンネル,-,-,-,-,-,-,-,-,-,-,-,-,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-
レーザー設定,-,-,-,-,-,-,-,-,-,-,-,-,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Off,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Low,-,-,-,-,-,-,-,-,-,-,-,-,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - High,-,-,-,-,-,-,-,-,-,-,-,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力設定値(If)[mA],-,-,-,-,-,-,-,-,-,-,-,-,23.17,24.37,23.17,24.37,22.12,24.49,22.12,24.49,21.77,23.76,22.12,24.49,21.77,23.76,21.77,23.76,22.15,23.55,22.15,23.55,-,-,-,-,-,-,-,-,-,-,-,-
レーザー調整係数,8.000,8.000
レーザー調整基準レーザー出力(Po)[mW],4.00,4.00
レーザー調整基準レーザー出力(Vm)[V],0.50,0.50
プローブ調整結果,-,-,-,-,-,-,-,-,Normal,Normal,-,-,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,-,-,Normal,Normal,-,-,-,-,-,-,-,-
計測情報
計測日時,2023/06/13 21:28:13
計測タイプ,Stim
プリスキャン時間[s],10.0
マーク入力タイプ,Manual
マーククラス,A,B,C,D,E,F,G,H,I,J
マーク名称,Stim A,Stim B,Stim C,Stim D,Stim E,Stim F,Stim G,Stim H,Stim I,Stim J
マーク刺激時間[s],15,15,15,15,15,15,15,15,15,15
マーク刺激間隔時間[s],30,30,30,30,30,30,30,30,30,30
マーク繰り返し回数,3



データ
携帯制御ボックス番号69(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.16629170,0.29074356,0.50835365,0.69038916,0.37426516,0.30190423,0.28794703,0.42237028,0.19781663,0.08389636,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:26.0,0,0
17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00388497,0.14698450,0.34438592,0.55836409,0.30468604,0.19254425,0.25739795,0.33117035,0.09934502,-0.05131593,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:26.0,0,0
18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.21740885,0.47714818,0.67915088,0.89095402,0.48081121,0.44519216,0.37056625,0.58357507,0.33477166,0.25785854,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:26.0,0,0
19,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.44478905,-0.00000000,17.71279144,0.07910401,0.42288160,0.34871641,0.55368948,0.28576490,0.17299777,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:27.0,0,0
20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.12186069,0.25915456,0.48465577,0.67316818,0.38669288,0.31662700,0.27450901,0.40276954,0.18497011,0.03613893,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:27.0,0,0
21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.18786679,-0.00000000,26.75030518,-0.22489811,0.19717655,0.20721376,0.28089112,0.09045315,-0.03909988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:27.0,0,0
22,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.38646683,0.50627291,0.76000619,0.92005086,0.44493541,0.42049971,0.30475271,0.50968462,0.31249863,0.24066594,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:27.0,0,0
23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.17171323,0.36974809,-2.43134999,19.36130524,-0.00725527,0.35968873,0.32036906,0.48186266,0.26283443,0.20766591,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:27.0,0,0
24,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.18413012,0.26981899,0.39698488,0.51663029,-0.10053442,0.20139167,0.27179480,0.32669419,0.12658440,0.00561173,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:28.0,0,0
25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.07433141,0.06645033,-0.00826759,0.07720082,0.08594377,0.06214413,0.22248650,0.20258908,0.03054951,-0.08746373,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:28.0,0,0
26,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.34886053,0.43591765,0.54805368,0.62587827,-0.09520534,0.32109535,0.30733240,0.42813468,0.25143990,0.05692925,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:28.0,0,0
27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.17171323,0.32295945,-0.07368063,24.74486542,0.24534486,0.27874213,0.27903375,0.38756916,0.20689711,-0.01687781,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:28.0,0,0
28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,4.15274906,0.06585518,0.30714357,0.39924479,-0.16128363,0.16354384,0.22233912,0.28587094,0.09816025,-0.06948530,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:28.0,0,0
29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08218975,0.13906205,16.08378029,14.36709595,0.12889443,0.15793636,0.17740844,0.26914424,0.17197962,-0.01343482,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:29.0,0,0
30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.46468201,-0.00000000,20.53719521,-0.18272370,0.31062394,0.23659241,0.40004006,0.21533774,0.07897095,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:29.0,0,0
31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.24654377,0.35715669,0.38930333,0.47109923,0.32745421,0.25958186,0.20546640,0.33205774,0.19722128,0.03737937,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:29.0,0,0
32,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.20946316,-0.00000000,26.00173759,-0.37083110,0.11903705,0.18266571,0.21801871,0.03973744,0.02376524,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:29.0,0,0
33,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.23327307,0.39467385,0.48350671,0.50759077,0.33158413,0.31808892,0.22647169,0.38004279,0.24881098,0.27155405,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:29.0,0,0
34,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.30428290,-0.00000000,20.53719521,-0.28314731,0.25376651,0.19367841,0.33265036,0.18878436,0.15744413,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:30.0,0,0
35,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04652071,0.14858156,0.24576294,0.18226154,0.21116401,0.12676992,0.13197528,0.20619380,0.10234576,0.13786075,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:30.0,0,0
36,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.04089650,-0.00000000,26.75030518,-0.52298218,0.19263214,0.12708704,0.27375719,0.19498652,0.27741021,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:30.0,0,0
37,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.28433833,0.30547673,-5.85136938,-6.04041529,0.21384506,0.24070393,0.12392718,0.26881132,0.17864083,0.26468360,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:30.0,0,0
38,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.18133678,0.15443599,-0.06112601,22.96165657,-0.32241940,0.17740093,0.08998680,0.22276948,0.09186175,0.14833541,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:30.0,0,0
39,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05594128,0.06885610,0.13872229,0.04673392,-0.46372449,0.05035194,0.01260774,0.10207339,-0.01180613,-0.00000554,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:31.0,0,0
40,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.12004694,0.29435745,-0.06493031,19.19092178,0.09230640,0.27404401,0.11285606,0.32756308,0.18614061,0.25563666,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:31.0,0,0
41,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.21961486,0.26488179,0.43044093,0.30359504,-0.28549594,0.23581882,0.09790692,0.28036314,0.14417692,0.19241466,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:31.0,0,0
42,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.14212200,0.05401591,-0.03699813,22.65456772,-0.05586645,0.11054274,-0.02145999,0.09950592,0.04707908,0.09362011,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:31.0,0,0
43,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.31252351,4.93939972,4.93890047,-0.36910847,0.32134596,0.07947022,0.30541548,0.22093323,0.39771655,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:31.0,0,0
44,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06605868,0.24461021,0.36813685,0.24135499,0.35080305,0.24923733,0.07780819,0.28531086,0.16860843,0.25848261,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:32.0,0,0
45,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.16891877,-0.00000000,19.65801430,-0.41239318,0.16281426,0.06421047,0.24173893,0.06900207,0.22057854,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:32.0,0,0
46,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01019122,0.15807046,0.40069136,0.31507692,0.23488353,0.26797727,0.11215403,0.36532223,0.22837190,0.55972606,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:32.0,0,0
47,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.36619392,-0.00000000,17.09950447,-0.25910074,0.29299557,0.13001263,0.37173286,0.19608888,0.43717092,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:32.0,0,0
48,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.06458231,0.23443134,0.33478969,0.29940575,0.22228177,0.22122255,0.08315864,0.28933111,0.12300579,0.38342226,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:32.0,0,0
49,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.10487598,-0.00000000,20.48471832,-0.47621578,0.10924882,0.00902857,0.15198398,0.02202072,0.27360576,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:33.0,0,0
50,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.29333913,0.44011521,0.51540005,0.40366384,0.26905906,0.32813653,0.10606942,0.36582914,0.24059820,0.52677715,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:33.0,0,0
51,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.13353950,0.31013429,-1.05822563,15.90451336,-0.24813333,0.28752789,0.08227659,0.31123805,0.18771553,0.43559051,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:33.0,0,0
52,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.28033563,0.25458571,0.32707202,0.36028528,-0.26345211,0.16473310,0.00784194,0.16347794,0.06945127,0.29519075,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:33.0,0,0
53,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.06860190,0.06265140,-0.01196495,21.13500977,-0.05625741,0.11356201,-0.05791463,0.09294529,0.09723133,0.43021566,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:33.0,0,0
54,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.66953474,0.52808082,0.56527656,0.64635754,-0.17650832,0.31265625,0.02805078,0.25597379,0.21417782,0.60261852,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:34.0,0,0
55,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.10797379,0.33937338,-0.09165444,17.32938004,0.03254244,0.24062611,-0.02763878,0.16620617,0.14428841,0.50445086,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:34.0,0,0
56,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,7.40806246,-0.03702006,0.29663268,0.45475867,-0.36322287,0.13078128,-0.09063884,0.04012170,0.04508640,0.37566346,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:34.0,0,0
57,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.14844535,0.11811370,7.80251551,7.11738014,-0.09059832,0.16349000,-0.11538708,0.07382639,0.15241188,0.51542848,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:34.0,0,0
58,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.45951912,-0.00000000,16.45372581,-0.36700773,0.27329704,-0.04756660,0.16503258,0.18056184,0.47556373,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:34.0,0,0
59,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.22149600,0.29582262,0.38249493,0.59469891,0.11976466,0.20965999,-0.05569585,0.13085565,0.10997181,0.35257325,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:35.0,0,0
60,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.16272764,-0.00000000,19.24669647,-0.51061720,0.09487567,-0.10326262,0.03744263,0.00383398,0.06507964,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:35.0,0,0
61,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03207081,0.05193367,0.15179721,0.22731622,0.05676987,0.05301763,-0.08839149,0.07600502,0.05639452,0.04850302,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:35.0,0,0
62,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.20232901,0.34435818,0.40874496,0.54278797,0.21638577,0.23671541,0.03821463,0.27067176,0.13263069,0.02159161,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:28:35.0,0,0
