ヘッダー
ファイルバージョン,1.01.01
ソフトウェアバージョン,1.04
ファームウェアバージョン,1.02
FPGAバージョン,1A25
ヘッドセット FPGAバージョン,272B
計測モード,Wireless monitor
計測コントローラ ID,A
計測ID,A20230613212009
計測コメント,tohma_odoball_2
ユーザー情報
ID,
Name,ooshio360
Comment,ooshio360
Age,  1y
Sex,Male
解析情報
Hb移動平均[s],OFF
プローブ情報
プローブモード,(B)2x4
プローブID,PROBE095
mPD反映,X
自動レーザー出力設定方式,Auto（自動）
プローブ調整平均値算出回数,10
外光判定閾値[%],40
アンダー判定閾値[%],30
オーバー判定閾値[%],80
レーザーチャンネル,LD1(705.0),LD1(830.0),LD2(705.0),LD2(830.0),LD3(705.0),LD3(830.0),LD4(705.0),LD4(830.0),LD5(705.0),LD5(830.0),LD6(705.0),LD6(830.0),LD7(705.0),LD7(830.0),LD8(705.0),LD8(830.0)
計測チャンネル,CH1(-.-),CH1(-.-),CH2(-.-),CH2(-.-),CH3(-.-),CH3(-.-),CH4(-.-),CH4(-.-),CH5(-.-),CH5(-.-),CH6(-.-),CH6(-.-),CH7(705.0),CH7(830.0),CH8(705.0),CH8(830.0),CH9(705.0),CH9(830.0),CH10(705.0),CH10(830.0),CH11(705.0),CH11(830.0),CH12(705.0),CH12(830.0),CH13(705.0),CH13(830.0),CH14(705.0),CH14(830.0),CH15(705.0),CH15(830.0),CH16(705.0),CH16(830.0),CH17(-.-),CH17(-.-),CH18(-.-),CH18(-.-),CH19(-.-),CH19(-.-),CH20(-.-),CH20(-.-),CH21(-.-),CH21(-.-),CH22(-.-),CH22(-.-)
除去チャネル,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
故障レーザーチャンネル,-,-,-,-,-,-,-,-,-,-,-,-,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,正常,-,-,-,-,-,-,-,-,-,-,-,-
レーザー設定,-,-,-,-,-,-,-,-,-,-,-,-,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Off,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - Low,-,-,-,-,-,-,-,-,-,-,-,-,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力目標値(Po)[mW] - High,-,-,-,-,-,-,-,-,-,-,-,-,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,-,-,-,-,-,-,-,-,-,-,-,-
レーザー出力設定値(If)[mA],-,-,-,-,-,-,-,-,-,-,-,-,23.17,24.37,23.17,24.37,22.12,24.49,22.12,24.49,21.77,23.76,22.12,24.49,21.77,23.76,21.77,23.76,22.15,23.55,22.15,23.55,-,-,-,-,-,-,-,-,-,-,-,-
レーザー調整係数,8.000,8.000
レーザー調整基準レーザー出力(Po)[mW],4.00,4.00
レーザー調整基準レーザー出力(Vm)[V],0.50,0.50
プローブ調整結果,-,-,-,-,-,-,-,-,Normal,Normal,-,-,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,-,-,Normal,Normal,-,-,-,-,-,-,-,-
計測情報
計測日時,2023/06/13 21:20:59
計測タイプ,Stim
プリスキャン時間[s],10.0
マーク入力タイプ,Manual
マーククラス,A,B,C,D,E,F,G,H,I,J
マーク名称,Stim A,Stim B,Stim C,Stim D,Stim E,Stim F,Stim G,Stim H,Stim I,Stim J
マーク刺激時間[s],15,15,15,15,15,15,15,15,15,15
マーク刺激間隔時間[s],30,30,30,30,30,30,30,30,30,30
マーク繰り返し回数,3



データ
携帯制御ボックス番号69(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
15,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.13279496,-0.06175917,0.06199405,0.14809977,-0.00615360,0.00550020,0.02972206,-0.04488524,-0.06158029,-0.41971791,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:12.0,0,0
16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.18657903,-0.13939196,0.08361205,0.24635762,0.00368984,0.00849846,0.07232487,0.00033418,0.01911082,-0.35138580,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:12.0,0,0
17,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01723217,0.11441766,0.31555748,0.55258834,0.15705095,0.16522738,0.19350004,0.17911069,0.06100240,-0.43530515,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:12.0,0,0
18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.05468904,0.04764569,0.22409131,0.45741710,0.14139630,0.12727620,0.16450875,0.15113838,0.01918453,-0.21109225,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:12.0,0,0
19,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.05290008,-0.08849861,-0.03156945,20.89955902,-0.04052308,0.02139273,0.18117023,0.09898162,-0.03597849,-0.03310373,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:13.0,0,0
20,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.99281144,-0.20240462,-0.10466363,-0.17479908,-0.42912608,-0.04887150,0.16616610,0.06514543,-0.02439437,0.10866918,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:13.0,0,0
21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.30357805,0.17690505,7.96572304,7.34611034,0.09809405,0.15973786,0.28273633,0.27183089,0.10331873,0.17029640,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:13.0,0,0
22,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.13414083,-0.00000000,18.30056381,-0.36675540,0.13168530,0.23645400,0.20130901,0.04950254,-0.15312526,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:13.0,0,0
23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15411136,-0.03122047,-0.00367473,0.11922678,0.02267981,-0.00038113,0.12507465,0.02374458,-0.05186530,-0.55476534,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:13.0,0,0
24,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.08597601,-0.00000000,25.05771255,-0.63556641,0.13187113,0.12817475,0.13000561,0.09530763,-0.48319200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:14.0,0,0
25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03557255,0.06713825,0.13995466,0.19425799,0.08498812,0.10411345,0.12606740,0.13096599,0.02591317,-0.50091350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:14.0,0,0
26,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.01960442,-0.00000000,25.82398033,-0.51618600,0.03170963,0.16322075,0.12735118,-0.05546011,-0.55503261,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:14.0,0,0
27,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01864850,-0.10022412,-0.14146249,-0.22929834,0.01832628,-0.06941279,0.10321664,0.02284433,-0.13293612,-0.65516293,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:14.0,0,0
28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-3.40698123,0.04170428,-0.00000000,23.35269737,-0.57644790,0.15559328,0.17360778,0.20953715,0.06730762,-0.33208361,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:14.0,0,0
29,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.36547247,0.12930320,0.17939933,0.12588164,0.04982063,0.08705542,0.11545104,0.12134200,0.02273824,-0.40638956,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:15.0,0,0
30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.08704980,-0.01870784,-0.05793706,30.78401566,-0.37541050,0.00057690,0.09256544,0.01763111,-0.08410820,-0.57843518,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:15.0,0,0
31,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02333956,-0.13136226,-0.13751280,-0.02713956,-0.69057745,-0.09672684,-0.03435222,-0.16397645,-0.19119839,-0.81734300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:15.0,0,0
32,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04644024,0.09051257,-0.02816013,25.28266144,-0.05751033,0.13189183,0.10231273,0.10131778,0.02186660,-0.59900588,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:15.0,0,0
33,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.03759528,0.03761489,0.11723553,0.04718670,-0.41681501,0.05981924,0.12804179,0.08257396,-0.00564073,-0.59448731,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:15.0,0,0
34,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.07553095,-0.13296099,-0.03082247,32.49307251,-0.12726782,-0.05747655,0.09498830,-0.00203232,-0.10494073,-0.63915104,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:16.0,0,0
35,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.22548503,7.60845757,7.23772192,-0.70035458,-0.07641643,0.04155439,-0.05968637,-0.05830463,-0.51008171,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:16.0,0,0
36,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.43000108,0.11432038,0.05941671,-0.07856394,-0.00779021,0.06571827,0.08194722,-0.01623151,0.01660048,-0.44493702,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:16.0,0,0
37,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.02469853,-0.00000000,26.25282288,-0.74901754,0.00079700,-0.00344337,-0.11383960,-0.06998808,-0.72752756,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:16.0,0,0
38,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.20583181,-0.08702444,-0.08683004,-0.05782631,-0.14420554,-0.07503232,-0.05172806,-0.21192974,-0.15797354,-0.85609263,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:16.0,0,0
39,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.01170358,-0.00000000,25.55328941,-0.77131182,0.14546023,0.06831199,0.01366460,0.04636268,-0.56672585,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:17.0,0,0
40,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.05895110,0.00807095,0.08411523,0.05445226,-0.02213495,0.05816223,0.07337610,-0.01946829,-0.00530785,-0.53427178,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:17.0,0,0
41,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.11588372,-0.00000000,26.88057137,-0.75609016,-0.03427187,0.00930892,-0.11340563,-0.09541320,-0.41922125,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:17.0,0,0
42,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09738396,-0.17742921,-0.22254017,-0.37546170,-0.16040109,-0.14345475,-0.04807287,-0.21908012,-0.16745050,-0.34769052,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:17.0,0,0
43,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00240409,0.08946019,-1.66261959,22.69649696,-0.68962276,0.09409617,0.02973874,-0.02439703,0.05654181,0.00372181,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:17.0,0,0
44,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.34448040,0.05385645,0.09440885,-0.00564722,-0.59696329,0.05310448,-0.01456827,-0.08855435,-0.01109826,-0.27237490,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:18.0,0,0
45,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04722476,-0.13762924,-0.01454564,27.35173035,-0.30979815,-0.06618018,-0.08110336,-0.20631364,-0.13615014,-0.60446239,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:18.0,0,0
46,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04663619,-0.07530420,0.13782622,0.19229895,-0.68585801,0.13100164,0.00650123,-0.00719052,0.05786878,-0.46554670,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:18.0,0,0
47,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.03846299,-0.06694879,-0.04222704,21.72540855,-0.20751786,0.04624959,-0.00548749,-0.06426733,-0.02520755,-0.52216297,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:18.0,0,0
48,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,9.11168766,-0.22339819,-0.04060975,-0.03995148,-0.63455188,-0.03251290,-0.01928863,-0.12715986,-0.10263892,-0.37693974,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:18.0,0,0
49,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.10450695,-0.20122334,3.13357878,2.87206841,-0.34832636,-0.13479650,-0.12355807,-0.27135435,-0.16026819,-0.21223079,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:19.0,0,0
50,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.05123957,-0.00000000,19.96870422,-0.72890627,0.07985627,-0.06263366,-0.07749881,0.04941602,0.20249163,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:19.0,0,0
51,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.39418894,0.05195641,-0.00918671,-0.08782054,-0.15432882,0.02806274,-0.12556918,-0.16706333,-0.03145384,-0.00536445,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:19.0,0,0
52,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.13763416,-0.00000000,23.18084526,-0.90729344,-0.10262083,-0.19098681,-0.27936330,-0.15331079,-0.39516369,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:19.0,0,0
53,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.20569614,0.03006900,0.13948974,0.13405751,-0.10330193,0.11395834,-0.08230044,-0.05188592,0.04854778,-0.33397391,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:19.0,0,0
54,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.01217890,-0.00000000,21.36732483,-0.66801715,0.05363481,-0.03776294,-0.04448099,-0.02915542,-0.38211876,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:20.0,0,0
55,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.81148279,-0.05957139,0.01121299,0.26128131,-0.09451713,-0.01752074,-0.05608597,-0.10329039,-0.10768742,-0.32581857,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:20.0,0,0
56,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.42230138,-0.36661804,-0.00000000,27.98051262,-0.87250000,-0.12400063,-0.12838972,-0.24311577,-0.18957670,-0.12212353,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:20.0,0,0
57,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02320882,0.02072959,0.11153866,0.16897677,-0.49037871,0.09870445,-0.06968738,-0.06066298,0.03235033,0.42630434,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:20.0,0,0
58,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.14393263,-0.00353575,-0.02133078,21.22088623,-0.24172844,0.02619680,-0.12330197,-0.12767680,-0.00907556,0.43399572,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:20.0,0,0
59,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.34254199,-0.04708780,-0.13422291,-0.12252183,-0.70418280,-0.09060979,-0.18223670,-0.24844693,-0.12879123,0.26361525,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:21.0,0,0
60,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.01614967,-0.19596247,0.04693086,29.36598015,-0.37605274,-0.19094373,-0.25839707,-0.37091017,-0.23840456,-0.16504516,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:21.0,0,0
61,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00930285,-0.17786188,0.05690133,0.14018357,-0.67576730,0.03330275,-0.17758949,-0.18729310,-0.05167599,-0.18686929,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,21:21:21.0,0,0
